id,manual,llama,qwen,qwen-coder
2343998,who -m,"who -m 
who am i",who -m,"who -m
who am i"
2296026,"printf """"a-xyz\nabc-xyz\n"""" | sort
printf """"a-xyz\nabc-xyz\n"""" | sort -V","```bash
printf ""a-xyz\nabc-xyz\n"" | sort
printf ""a-xyz\nabc-xyz\n"" | sort -V
```","printf ""a-xyz\nabc-xyz\n"" | sort -V","printf ""a-xyz\nabc-xyz\n"" | sort -V"
2311888,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2296201,"fold badfile
echo $?","```bash
fold badfile
echo ""$?""
```","fold badfile
echo ""$?""","fold badfile  
echo ""$?"""
1349579,Not Applicable,Not Applicable,Not Applicable,Not Applicable
492369,"chmod 4755 filename
ls -l filename
chmod 0755 filename
ls -l filename","```bash
touch file
chmod 4755 file
ls -l file
chmod 0755 file
ls -l file
chmod u-s file
ls -l file
```",Not Applicable,Not Applicable
2265756,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1346074,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2269948,"/usr/bin/date --date ""1976-05-30""","/usr/bin/date --date ""1976-05-30"" 
/usr/bin/date --date ""30 May 1976""","/usr/bin/date --date ""1976-05-30""","/usr/bin/date --date ""1976-05-30""
/usr/bin/date --date ""30 May 1976"""
2126206,"uname -i
uname -p","uname -i
uname -p","uname -i
uname -p","uname -i
uname -p"
2261852,uname --processor,uname --processor,uname --processor,uname --processor
2258913,"{ printf '%131070s\n' ''; printf 'x\n'; printf '%131071s\n' ''; } > in  
split -C 131072 ---io=131072 in","```bash
{ printf '%131070s\n' ''; printf 'x\n'; printf '%131071s\n' ''; } > in
split -C 131072 ---output=io=131072 in
```","{ printf '%131070s\n' ''; printf 'x\n'; printf '%131071s\n' ''; } > in
split -C 131072 ---io=131072 in","{ printf '%131070s\n' ''; printf 'x\n'; printf '%131071s\n' ''; } > in
split -C 131072 --io=131072 in"
2248503,uname -i,uname -i,Not Applicable,Not Applicable
2160675,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2236321,"cp -v -u <source> <destination>
mv -v -u <source> <destination>","cp -u -v file1 file2
mv -i -v file3 file4 
cp -u -v --debug file1 file2
mv -i -v --debug file3 file4",Not Applicable,Not Applicable
2236739,Not Applicable,sleep 50,Not Applicable,Not Applicable
2208048,"rpm -q coreutils
uname -i",uname -m,Not Applicable,Not Applicable
