id,description,Ollama_Response
2343998,"Description of problem:
'who -m' or 'who am i' no longer prints output.

Version-Release number of selected component (if applicable):
coreutils-9.6-1.fc42.x86_64

How reproducible:
Always

Steps to Reproduce:
1. run 'who -m'
2.
3.

Actual results:
# who -m
# 


Expected results:
# who am i
root     pts/0        2025-02-05 11:35 (10.22.64.138)","who -m  
who am i"
2296026,"Description of problem:
When sorting two lines with no numeric parts, 'sort -V' differs from 'sort'.
(Caveat applies -- see ""Note:"" below.)

Version-Release number of selected component (if applicable):
coreutils-9.4-6.fc40.x86_64
(Has existed since coreutils-8.22-13.fc21.x86_64 .)

How reproducible:
Always

Steps to Reproduce:
1.
  printf ""a-xyz\nabc-xyz\n"" | sort
  a-xyz
  abc-xyz

2.
  printf ""a-xyz\nabc-xyz\n"" | sort -V
  abc-xyz
  a-xyz		<<< should be first

Note: The results are the same (as expected) if lines ""a"" and ""abc"" are sorted
 (i.e., without the ""-xyz""):
  printf ""a\nabc\n"" | sort -V
  a
  abc


Additional info:
Related: RHBZ 560127
That involved numeric parts, however.
(Sadly, that is ""Status: CLOSED CANTFIX"" )","printf ""a-xyz\nabc-xyz\n"" | sort -V"
2325167,"The nproc tool calls sched_getaffinity with a fixed number of 1024 CPUs. This always fails on machines that have more CPUs. As a result, the sysconf fallback is used, resulting in unexpected results. It is necessary to use the glibc 2.6 APIs and retry with increasing CPU set sizes.


Reproducible: Always",nproc
2311888,"Description of problem:
This is a test to test that Abrt catches a crash.

Version-Release number of selected component:
coreutils-9.5-9.fc41

Additional info:
reporter:       libreport-2.17.15
type:           CCpp
reason:         sleep killed by SIGSEGV
journald_cursor: s=f3f51691e7774f7aa5bb38b0e518b4dd;i=12f713;b=1698045ede0d4b5797b0d0906e0b9b0b;m=2425d782a;t=621e932f3cb1b;x=9794677ee122fe5f
executable:     /usr/bin/sleep
cmdline:        sleep 100
cgroup:         0::/user.slice/user-1000.slice/user@1000.service/app.slice/vte-spawn-52875e75-31e5-4ce8-92a2-8ff66f6e23ab.scope
rootdir:        /
uid:            1000
kernel:         6.11.0-0.rc5.43.fc41.x86_64
package:        coreutils-9.5-9.fc41
runlevel:       N 5
backtrace_rating: 4
crash_function: __clock_nanosleep
comment:        This is a test to test that Abrt catches a crash.

Truncated backtrace:
Thread no. 1 (4 frames)
 #0 __clock_nanosleep at ../sysdeps/unix/sysv/linux/clock_nanosleep.c:71
 #1 __nanosleep at ../sysdeps/unix/sysv/linux/nanosleep.c:25
 #2 rpl_nanosleep at ../lib/nanosleep.c:80
 #3 xnanosleep at ../lib/xnanosleep.c:69


Potential duplicate: bug 2066546",sleep 100
2307847,"The added systemd-devel buildrequires in the latest coreutils package results in the `who` command sourcing its information about active logins from systemd rather than `utmp`.  That's not bad, but this new code path doesn't have support for listing sessions that:
 - aren't seats,
 - don't have an associated terminal device, and
 - aren't listed as ""XDG_SESSION_TYPE=tty"".

Cockpit doesn't have a XDG seat, doesn't allocate a pseudoterminal, and sets its XDG_SESSION_TYPE to ""web"" which means that it gets excluded.

The upstream code in question is part of read_utmp_from_systemd() in gnulib: http://git.savannah.gnu.org/gitweb/?p=gnulib.git;a=blob;f=lib/readutmp.c;h=10d79d1d81a5eeb9da7cbfcc72f214430abcfa2c;hb=HEAD#l800 (look at the heuristics under the ""Try harder"" comment for why this works properly with ssh sessions, even without controlling terminals).

This is a regression in the test suite of Cockpit and definitely a usability regression which will be visible to Fedora users.  We're currently tracking this as a knownissue in our CI: https://github.com/cockpit-project/bots/issues/6789.  I've also filed the bug upstream, but after waiting a while I haven't noticed it appear on the archives page yet (nor have I received a rejection email for it).  When it does appear I'll update our issue with a link to it.

Reproducible: Always

Steps to Reproduce:
1. Install cockpit, login to a session
2. run `who`

Actual Results:  
The 'web console' session is not listed in the output of who.

Expected Results:  
The session should be listed in `who` (as it was with coreutils-9.5-7).","1. Install cockpit.
2. Login to a Cockpit session via web console.
3. Run the following command:

```sh
who
```

This should show that the 'web console' session is not listed in the output of `who`."
2296201,"Description of problem:
When using fold on a non-existent file, a zero exit code is returned.

Version-Release number of selected component (if applicable):
coreutils-9.4-6.fc40.src.rpm
Speculated to have existed since commit 66a4fe9b1acf28e5d156be7d84a2d7830a776b8b, see:
  * <https://src.fedoraproject.org/rpms/coreutils/blame/coreutils-i18n.patch?identifier=rawhide#2185>
  * <https://src.fedoraproject.org/rpms/coreutils/c/66a4fe9b1acf28e5d156be7d84a2d7830a776b8b>

Reproducible: Always

Steps to Reproduce:
1.
  $ fold badfile
  fold: badfile: No such file or directory
  $ echo ""$?""
  0              # <<< should be non-zero 
Actual Results:  
The return code is successful.

Expected Results:  
If any file fails to open, the return code should be an error.

* I checked the upstream GNU coreutils sources, and they don't have this same error.
* I implemented a patch for this which should resolve it and tested it locally in a quay.io/fedora/fedora:40 container (Image: a0d555a3386f), but I'd appreciate any feedback.

Commit on my fork: https://src.fedoraproject.org/fork/ssmendon/rpms/coreutils/tree/7dd145deac885c3274b6557890e53a00e5c333b2
PR to coreutils/f40: https://src.fedoraproject.org/rpms/coreutils/pull-request/16#","```bash
fold badfile
echo ""$?""
```"
1349579,"Description of problem:

The new DIR_COLORS* files now say COLOR is recognized but ignored.  The old config files mentioned COLOR=none shuts colorization off, which is what I've always used in the past, and ""COLOR=none"" still properly seems to work currently.

Is this being changed or is this still the correct way to disable colorization for ""ls""?  If this is still the correct way, the DIR_COLOR* config files should say to set ""COLOR=none"" to disable colorization instead of the confusing text now that says it's ""recognized"" but ""ignored"".

If this is changing, then maybe a helpful note in the config file to say where/what the proper way to disable colorization is.  Thanks.

Version-Release number of selected component (if applicable):
coreutils-8.25-9.fc25",None
492369,"Description of problem:
When I am changing the special permissions (suid, sgid and sticky) in Fedora with the numeric method (chmod 2755 for example), is possible add the special permissions with numbers, but isn't possible to clear permissions.
for example: is possible do chmod 4755 to add suid but if I use chmod 0755 the permission suid isn't remove.
In other form, with chmod u-s the permission clear right.
The problem is that using the numeric method only is possible add permission specials 


Version-Release number of selected component (if applicable):


How reproducible:


Steps to Reproduce:
1.
2.
3.
  
Actual results:


Expected results:


Additional info:",None
2265756,"Version-Release number of selected component:
coreutils-9.1-12.fc38

Additional info:
reporter:       libreport-2.17.11
type:           CCpp
reason:         cut killed by SIGABRT
journald_cursor: s=869edff160574e04a8bda3d7925c0b9d;i=8d0cf8;b=ebc06062168d4755a0f89a4139457ac6;m=699e53345;t=612149ac9851d;x=ddeff73a8251640f
executable:     /usr/bin/cut
cmdline:        cut -d : -f 2-
rootdir:        /
uid:            0
kernel:         6.7.4-100.fc38.x86_64
package:        coreutils-9.1-12.fc38
runlevel:       N 5
backtrace_rating: 4
crash_function: __libc_read

Truncated backtrace:
Thread no. 1 (7 frames)
 #0 __libc_read at ../sysdeps/unix/sysv/linux/read.c:26
 #1 _IO_new_file_underflow at /usr/src/debug/glibc-2.37-18.fc38.x86_64/libio/libioP.h:946
 #2 _IO_default_uflow at /usr/src/debug/glibc-2.37-18.fc38.x86_64/libio/libioP.h:946
 #3 getc_unlocked at /usr/include/bits/stdio.h:68
 #4 cut_fields at ../src/cut.c:449
 #5 cut_stream at ../src/cut.c:768
 #6 cut_file at ../src/cut.c:814",None
1346074,"Well, 'chgrp' and 'chown' do have this feature.  I'm not sure, there might
be some good reason to not implement this in 'chmod' (and this is NOTABUG).

However, seems like OpenShift guys need 'chmod -L -R' feature:
https://github.com/sclorg/postgresql-container/pull/120",None
