id,reporter,report-time,last-modified,status,priority,severity,product,component,summary/subject/title,class,expected result,observed/actual result,reproducible,steps to reproduce,manual,llama,qwen,qwen-coder,link
2343998,jstephen,2025-02-05T17:04:00Z,2025-02-06T13:14:54Z,ASSIGNED,unspecified,low,Fedora,coreutils,who -m prints no output,normal,"# who am i
root     pts/0        2025-02-05 11:35 (10.22.64.138)","# who -m
# ",Always,1. run 'who -m',who -m,"who -m 
who am i",who -m,"who -m
who am i",https://bugzilla.redhat.com/show_bug.cgi?id=2343998
2296026,Bruce Jerrick,2024-07-05T20:36:07Z,2024-11-21T10:43:32Z,CLOSED NOTABUG,unspecified,medium,Fedora,coreutils,sort -V' order differs from 'sort' when there are no numerics,normal,"1. a-xyz
    abc-xyz

2. a-xyz
    abc-xyz","1. a-xyz
    abc-xyz

2. abc-xyz
    a-xyz",Always,"- printf ""a-xyz\nabc-xyz\n"" | sort
- printf ""a-xyz\nabc-xyz\n"" | sort -V","printf """"a-xyz\nabc-xyz\n"""" | sort
printf """"a-xyz\nabc-xyz\n"""" | sort -V","```bash
printf ""a-xyz\nabc-xyz\n"" | sort
printf ""a-xyz\nabc-xyz\n"" | sort -V
```","printf ""a-xyz\nabc-xyz\n"" | sort -V","printf ""a-xyz\nabc-xyz\n"" | sort -V",https://bugzilla.redhat.com/show_bug.cgi?id=2296026
2325167,Florian Weimer,2024-11-11T11:29:27Z,2024-11-20T16:21:57Z,CLOSED ERRATA,unspecified,medium,Fedora,coreutils,coreutils: nproc ignores affinity mask on machines with more than 1024 CPUs,normal,nproc should correctly return the number of available CPUs,"Fails on machines with >1024 CPUs, falling back to sysconf, which gives incorrect values",Always,Run nproc on a system with >1024 CPUs and observe incorrect output due to sched_getaffinity failure,,"nproc
sched_getaffinity -p $$ > /dev/null && echo ""Expected failure didn't occur"" || true 
getconf _NPROCESSORS_ONLN 
(While the first two commands are more about demonstrating system calls and behavior, a definitive reproducing test case would likely involve writing a C program that uses sched_getaffinity with varying sizes of CPU sets to demonstrate the issue. However, based on provided information, we focus on nproc as the primary command related to the bug description.)",,,https://bugzilla.redhat.com/show_bug.cgi?id=2325167
2311888,Lukas Ruzicka,2024-09-12T10:03:15Z,2024-09-12T11:45:23Z,CLOSED NOTABUG,unspecified,unspecified,Fedora,coreutils,[abrt] coreutils: __clock_nanosleep(): sleep killed by SIGSEGV,,,,,,,,,,https://bugzilla.redhat.com/show_bug.cgi?id=2311888
2307847,Allison Karlitskaya,2024-08-26T09:16:20Z,2024-08-27T14:19:44Z,CLOSED ERRATA,unspecified,medium,Fedora,coreutils,coreutils-9.5-8.fc41 no longer lists Cockpit logins in `who`,normal,The session should be listed in `who` (as it was with coreutils-9.5-7).,The 'web console' session is not listed in the output of who.,Always,"- Install cockpit, login to a session
- run 'who'",,"dnf install cockpit
cockpit-session --login
who","sudo dnf install cockpit
systemctl start cockpit
systemctl enable cockpit.socket
who","Install cockpit, login to a session
run `who`",https://bugzilla.redhat.com/show_bug.cgi?id=2307847
2296201,Sohum M,2024-07-07T19:15:05Z,2024-07-18T04:06:07Z,CLOSED ERRATA,unspecified,medium,Fedora,coreutils,fold exit code is zero for non-existent file,normal,"If any file fails to open, the return code should be an error",The return code is successful,Always,"1.
  $ fold badfile
  fold: badfile: No such file or directory
  $ echo ""$?""
  0              # <<< should be non-zero ","fold badfile
echo $?
","```bash
fold badfile
echo ""$?""
```","fold badfile
echo ""$?""","fold badfile  
echo ""$?""",https://bugzilla.redhat.com/show_bug.cgi?id=2296201
1349579,Zing,2016-06-23T17:53:15Z,2024-07-08T16:15:42Z,CLOSED RAWHIDE,unspecified,low,Fedora,coreutils,"new DIR_COLOR* files say ""COLOR=none"" ignored... not sure if true or false?",normal,The DIR_COLORS* config files should clearly state how to disable colorization for ls,"The files say ""COLOR is recognized but ignored,"" causing confusion, while COLOR=none still works but is not officially recommended",Always,"Set COLOR=none in DIR_COLORS, run ls, and observe if colorization is disabled; check the config file wording for clarity",,,,,https://bugzilla.redhat.com/show_bug.cgi?id=1349579
492369,Oscar Ferraro Nobile,2009-03-26T16:28:34Z,2024-06-16T08:39:16Z,CLOSED NOTABUG,low,low,Fedora,coreutils,"problem assigning the special permissions (suid, sgid and sticky), isn't possible clear its ussing the numeric method",normal,,,,,"chmod 4755 filename
ls -l filename
chmod 0755 filename
ls -l filename
","```bash
touch file
chmod 4755 file
ls -l file
chmod 0755 file
ls -l file
chmod u-s file
ls -l file
```",,,https://bugzilla.redhat.com/show_bug.cgi?id=492369
2265756,xmm.user,2024-02-23T23:56:26Z,2024-05-31T09:16:32Z,CLOSED EOL,unspecified,unspecified,Fedora,coreutils,[abrt] coreutils: __libc_read(): cut killed by SIGABRT,,,,,,,,,,https://bugzilla.redhat.com/show_bug.cgi?id=2265756
1346074,Pavel Raiskup,2016-06-13T20:57:54Z,2024-03-21T08:07:03Z,CLOSED UPSTREAM,unspecified,unspecified,Fedora,coreutils,"RFE: chmod, add missing -L/-H/-h option to follow symbolic links",,,,,,,,,,https://bugzilla.redhat.com/show_bug.cgi?id=1346074
2269948,Roberto,2024-03-17T14:36:10Z,2024-03-18T13:26:05Z,CLOSED NOTABUG,unspecified,medium,Fedora,coreutils,"date command returns invalid date for 1976, May 30",normal,"dom 30 mag 1976, 00:00:00, CET","/usr/bin/date: data ""30 May 1976"" non valida",Always,"/usr/bin/date --date ""1976-05-30""","/usr/bin/date --date ""1976-05-30""","/usr/bin/date --date ""1976-05-30"" 
/usr/bin/date --date ""30 May 1976""","/usr/bin/date --date ""1976-05-30""","/usr/bin/date --date ""1976-05-30""
/usr/bin/date --date ""30 May 1976""",https://bugzilla.redhat.com/show_bug.cgi?id=2269948
2126206,Chung,2022-09-12T20:41:04Z,2024-01-30T09:44:06Z,CLOSED NOTABUG,unspecified,medium,Fedora,coreutils,uname -i/p is broken in latest version of RAWHIDE,normal,"$ uname -i
x86_64
$ $ uname -p
x86_64","$ uname -i
unknown
$ uname -p
unknown",Always,"- Install RAWHIDE
- Run uname -i or -p","uname -i
uname -p","uname -i
uname -p","uname -i
uname -p","uname -i
uname -p",https://bugzilla.redhat.com/show_bug.cgi?id=2126206
2261852,IBM Bug Proxy,2024-01-30T05:40:17Z,2024-01-30T09:36:29Z,CLOSED DUPLICATE,unspecified,medium,Fedora,coreutils,uname --processor is broken from Fedora38 and above!,normal,ppc64le,unknown,Always,1) uname --processor,uname --processor,uname --processor,uname --processor,uname --processor,https://bugzilla.redhat.com/show_bug.cgi?id=2261852
2258913,Pádraig Brady,2024-01-18T00:35:48Z,2024-01-23T00:58:31Z,CLOSED ERRATA,medium,medium,Fedora,coreutils,heap overflow in split --line-bytes with very long lines [fedora-all],normal,split -C should correctly handle large input sizes without causing memory corruption,"A heap overflow occurs when processing large inputs, potentially leading to a crash or security vulnerability",Always,"{ printf '%131070s\n' ''; printf 'x\n'; printf '%131071s\n' ''; } > in  
split -C 131072 ---io=131072 in","{ printf '%131070s\n' ''; printf 'x\n'; printf '%131071s\n' ''; } > in  
split -C 131072 ---io=131072 in","```bash
{ printf '%131070s\n' ''; printf 'x\n'; printf '%131071s\n' ''; } > in
split -C 131072 ---output=io=131072 in
```","{ printf '%131070s\n' ''; printf 'x\n'; printf '%131071s\n' ''; } > in
split -C 131072 ---io=131072 in","{ printf '%131070s\n' ''; printf 'x\n'; printf '%131071s\n' ''; } > in
split -C 131072 --io=131072 in",https://bugzilla.redhat.com/show_bug.cgi?id=2258913
2256513,Edgar Hoch,2024-01-02T20:18:59Z,2024-01-03T08:27:15Z,CLOSED NOTABUG,unspecified,medium,Fedora,coreutils,coreutils no longer provides /bin/ln,normal,,,Always,,,"rpm -q coreutils
rpm -ql coreutils | grep /bin/ln
dnf install gskssl64",,,https://bugzilla.redhat.com/show_bug.cgi?id=2256513
2248503,Harald Reindl,2023-11-07T12:26:29Z,2023-11-07T12:52:36Z,CLOSED DUPLICATE,unspecified,unspecified,Fedora,coreutils,uname -i don't work,normal,x86_64,breaking scripts,Always,uname -i,uname -i,uname -i,,,https://bugzilla.redhat.com/show_bug.cgi?id=2248503
2160675,Ondrej,2023-01-13T09:36:16Z,2023-09-21T00:15:45Z,CLOSED ERRATA,unspecified,unspecified,Fedora,coreutils,[RFE] cp -p should copy NFSv4 acls,,,,Never,,,,,,https://bugzilla.redhat.com/show_bug.cgi?id=2160675
1121021,vikram goyal,2014-07-18T08:04:22Z,2023-09-14T02:11:42Z,CLOSED INSUFFICIENT_DATA,unspecified,unspecified,Fedora,coreutils,coreutils-8.21-21.fc20.x86_64 df (executed by root) does not show fuse.sshfs mount,normal,command 'mount' as a normal user & as root shows the fuse mount in output,"[vikram@mail2 ~]$ df
Filesystem                1K-blocks      Used Available Use% Mounted on
/dev/sdb6                 153942744  66849904  84503912  45% /
devtmpfs                    1520368         0   1520368   0% /dev
tmpfs                       1527604     99060   1428544   7% /dev/shm
tmpfs                       1527604       932   1526672   1% /run
tmpfs                       1527604         0   1527604   0% /sys/fs/cgroup
tmpfs                       1527604       708   1526896   1% /tmp
/dev/sda1                   1515376    172140   1248212  13% /boot
/dev/dm-0                 330327632 240421328  87183640  74% /home/vikram
root.XXX.XXX:/root  51606140   3660076  45324624   8% /home/vikram/someremoteloc


[root@mail2 ~]# df
Filesystem                1K-blocks      Used Available Use% Mounted on
/dev/sdb6                 153942744  66850280  84503560  45% /
devtmpfs                    1520368         0   1520368   0% /dev
tmpfs                       1527604     99060   1428544   7% /dev/shm
tmpfs                       1527604       932   1526672   1% /run
tmpfs                       1527604         0   1527604   0% /sys/fs/cgroup
tmpfs                       1527604       708   1526896   1% /tmp
/dev/sda1                   1515376    172140   1248212  13% /boot
/dev/dm-0                 330327632 240421552  87183456  74% /home/vikram

[root@mail2 ~]# uptime
 13:20:10 up 7 days, 19:14, 15 users,  load average: 0.21, 0.18, 0.48

[root@mail2 ~]# uname -a
Linux mail2.xxx 3.15.3-200.fc20.x86_64 #1 SMP Tue Jul 1 16:18:00 UTC 2014 x86_64 x86_64 x86_64 GNU/Linux

[root@mail2 ~]# rpm -qf `which sshfs`
fuse-sshfs-2.4-5.fc20.x86_64",,"Mount a remote location in home dir/dir through sshfs as a normal user
execute df as root
excute df as the same uaer which mounted the remote location.",,"```bash
sshfs user@remotehost:/path/to/remote/location /home/user/local/mount/point
sudo df
df
```
Note: Replace `user`, `remotehost`, `/path/to/remote/location`, and `/home/user/local/mount/point` with actual values.","sshfs user@remote:/path /home/user/mountpoint
sudo df
df","sshfs user@remotehost:/path/to/remote /home/user/someremoteloc  
df  
sudo df  
umount /home/user/someremoteloc",https://bugzilla.redhat.com/show_bug.cgi?id=1121021
2236321,Ian Laurie,2023-08-30T21:47:26Z,2023-09-05T12:41:28Z,CLOSED ERRATA,unspecified,medium,Fedora,coreutils,coreutils-9.4 reverts an undesirable change to the -v option that landed in coreutils-9.3,normal,"-v option in cp and mv should behave as it did before coreutils 9.3, providing consistent verbosity","In coreutils 9.3, cp -v and mv -v started skipping messages for files not copied due to -i or -u, breaking automation scripts",Always,Use cp -v -u or mv -v -u on coreutils 9.3,"cp -v -u <source> <destination>
mv -v -u <source> <destination>
","cp -u -v file1 file2
mv -i -v file3 file4 
cp -u -v --debug file1 file2
mv -i -v --debug file3 file4",,,https://bugzilla.redhat.com/show_bug.cgi?id=2236321
2236739,lnie,2023-09-01T12:34:58Z,2023-09-01T12:40:36Z,CLOSED NOTABUG,unspecified,unspecified,Fedora,coreutils,[abrt] coreutils: __clock_nanosleep(): sleep killed by SIGSEGV,,,,,,,sleep 50,,,https://bugzilla.redhat.com/show_bug.cgi?id=2236739
2208048,Ben Woodard,2023-05-17T19:29:53Z,2023-05-17T20:28:32Z,CLOSED NOTABUG,unspecified,medium,Fedora,coreutils,uname -i returns unknown,normal,x86_64 (or whatever the arch is),unknown,Always,"$ rpm -q coreutils
$ uname -i","rpm -q coreutils
uname -i",uname -m,,,https://bugzilla.redhat.com/show_bug.cgi?id=2208048
2203350,Adam Williamson,2023-05-12T04:42:08Z,2023-05-14T15:29:17Z,CLOSED NOTABUG,unspecified,medium,Fedora,coreutils,"uname -p on Fedora 38+ says ""unknown""",normal,It should say something...more useful,"It says ""unknown""",Always,Run `uname -p`,uname -p,uname -p,uname -p,uname -p,https://bugzilla.redhat.com/show_bug.cgi?id=2203350
2189656,Tom Horsley,2023-04-25T20:16:52Z,2023-04-27T07:05:09Z,CLOSED NOTABUG,unspecified,medium,Fedora,coreutils,"uname -p now returns ""unknown"" always returned ""x86_64"" previously",normal,x86_64,unknown,Always,uname -p,uname -p,uname -p,uname -p,uname -p,https://bugzilla.redhat.com/show_bug.cgi?id=2189656
2188689,Dennis Gilmore,2023-04-21T16:37:56Z,2023-04-21T20:29:59Z,CLOSED NOTABUG,unspecified,medium,Fedora,coreutils,regression in uname -i from Fedora 37 to Fedora 38,normal,aarch64,unknown,Always,uname -i,uname -i,"rpm -q coreutils
uname -i",uname -i,,https://bugzilla.redhat.com/show_bug.cgi?id=2188689
