id,reporter,report-time,last-modified,status,priority,severity,product,component,summary/subject/title,class,expected result,observed/actual result,reproducible,steps to reproduce,input,llama,qwen,qwen-coder,link,comments
2343998,jstephen,2025-02-05T17:04:00Z,2025-02-06T13:14:54Z,ASSIGNED,unspecified,low,Fedora,coreutils,who -m prints no output,normal,"# who am i
root     pts/0        2025-02-05 11:35 (10.22.64.138)","# who -m
# ",Always,1. run 'who -m',$ who -m,"who -m 
who am i",who -m,"who -m  
who am i",https://bugzilla.redhat.com/show_bug.cgi?id=2343998,
2296026,Bruce Jerrick,2024-07-05T20:36:07Z,2024-11-21T10:43:32Z,CLOSED NOTABUG,unspecified,medium,Fedora,coreutils,sort -V' order differs from 'sort' when there are no numerics,normal,"1. a-xyz
    abc-xyz

2. a-xyz
    abc-xyz","1. a-xyz
    abc-xyz

2. abc-xyz
    a-xyz",Always,"- printf ""a-xyz\nabc-xyz\n"" | sort
- printf ""a-xyz\nabc-xyz\n"" | sort -V","$ printf """"a-xyz\nabc-xyz\n"""" | sort
$ printf """"a-xyz\nabc-xyz\n"""" | sort -V","```bash
printf ""a-xyz\nabc-xyz\n"" | sort -V
```","printf ""a-xyz\nabc-xyz\n"" | sort -V","printf ""a-xyz\nabc-xyz\n"" | sort -V",https://bugzilla.redhat.com/show_bug.cgi?id=2296026,
2325167,Florian Weimer,2024-11-11T11:29:27Z,2024-11-20T16:21:57Z,CLOSED ERRATA,unspecified,medium,Fedora,coreutils,coreutils: nproc ignores affinity mask on machines with more than 1024 CPUs,normal,nproc should correctly return the number of available CPUs,"Fails on machines with >1024 CPUs, falling back to sysconf, which gives incorrect values",Always,Run nproc on a system with >1024 CPUs and observe incorrect output due to sched_getaffinity failure,,"nproc; sched_getaffinity -c $(nproc) && echo ""Success"" || echo ""Failure""; sysconf _SC_NPROCESSORS_ONLN",None,nproc,https://bugzilla.redhat.com/show_bug.cgi?id=2325167,
2311888,Lukas Ruzicka,2024-09-12T10:03:15Z,2024-09-12T11:45:23Z,CLOSED NOTABUG,unspecified,unspecified,Fedora,coreutils,[abrt] coreutils: __clock_nanosleep(): sleep killed by SIGSEGV,,,,,,,sleep 100,None,sleep 100,https://bugzilla.redhat.com/show_bug.cgi?id=2311888,
2307847,Allison Karlitskaya,2024-08-26T09:16:20Z,2024-08-27T14:19:44Z,CLOSED ERRATA,unspecified,medium,Fedora,coreutils,coreutils-9.5-8.fc41 no longer lists Cockpit logins in `who`,normal,The session should be listed in `who` (as it was with coreutils-9.5-7).,The 'web console' session is not listed in the output of who.,Always,"- Install cockpit, login to a session
- run 'who'",,"```bash
cockpit-session --login
who
```","```
1. Install cockpit
2. Login to a session
3. Run `who`
```","1. Install cockpit.
2. Login to a Cockpit session via web console.
3. Run the following command:

```sh
who
```

This should show that the 'web console' session is not listed in the output of `who`.",https://bugzilla.redhat.com/show_bug.cgi?id=2307847,
2296201,Sohum M,2024-07-07T19:15:05Z,2024-07-18T04:06:07Z,CLOSED ERRATA,unspecified,medium,Fedora,coreutils,fold exit code is zero for non-existent file,normal,"If any file fails to open, the return code should be an error",The return code is successful,Always,"1.
  $ fold badfile
  fold: badfile: No such file or directory
  $ echo ""$?""
  0              # <<< should be non-zero ","$ fold badfile
$ echo $?
","```bash
fold badfile; echo ""$?""
```","fold badfile
echo ""$?""","```bash
fold badfile
echo ""$?""
```",https://bugzilla.redhat.com/show_bug.cgi?id=2296201,
1349579,Zing,2016-06-23T17:53:15Z,2024-07-08T16:15:42Z,CLOSED RAWHIDE,unspecified,low,Fedora,coreutils,"new DIR_COLOR* files say ""COLOR=none"" ignored... not sure if true or false?",normal,The DIR_COLORS* config files should clearly state how to disable colorization for ls,"The files say ""COLOR is recognized but ignored,"" causing confusion, while COLOR=none still works but is not officially recommended",Always,"Set COLOR=none in DIR_COLORS, run ls, and observe if colorization is disabled; check the config file wording for clarity",None,"```
ls --color=none
```",None,None,https://bugzilla.redhat.com/show_bug.cgi?id=1349579,
492369,Oscar Ferraro Nobile,2009-03-26T16:28:34Z,2024-06-16T08:39:16Z,CLOSED NOTABUG,low,low,Fedora,coreutils,"problem assigning the special permissions (suid, sgid and sticky), isn't possible clear its ussing the numeric method",normal,,,,,"$ chmod 4755 filename
$ ls -l filename
$ chmod 0755 filename
$ ls -l filename
","```bash
chmod 4755 file; chmod 0755 file; ls -l file
```",None,None,https://bugzilla.redhat.com/show_bug.cgi?id=492369,
2265756,xmm.user,2024-02-23T23:56:26Z,2024-05-31T09:16:32Z,CLOSED EOL,unspecified,unspecified,Fedora,coreutils,[abrt] coreutils: __libc_read(): cut killed by SIGABRT,,,,,,,None,None,None,https://bugzilla.redhat.com/show_bug.cgi?id=2265756,
1346074,Pavel Raiskup,2016-06-13T20:57:54Z,2024-03-21T08:07:03Z,CLOSED UPSTREAM,unspecified,unspecified,Fedora,coreutils,"RFE: chmod, add missing -L/-H/-h option to follow symbolic links",,,,,,,None,None,None,https://bugzilla.redhat.com/show_bug.cgi?id=1346074,
2269948,Roberto,2024-03-17T14:36:10Z,2024-03-18T13:26:05Z,CLOSED NOTABUG,unspecified,medium,Fedora,coreutils,"date command returns invalid date for 1976, May 30",normal,"dom 30 mag 1976, 00:00:00, CET","/usr/bin/date: data ""30 May 1976"" non valida",Always,"/usr/bin/date --date ""1976-05-30""","$ /usr/bin/date --date ""1976-05-30""","/usr/bin/date --date ""1976-05-30"" 
/usr/bin/date --date ""30 May 1976""","/usr/bin/date --date ""1976-05-30""","/usr/bin/date --date ""1976-05-30""",https://bugzilla.redhat.com/show_bug.cgi?id=2269948,
2126206,Chung,2022-09-12T20:41:04Z,2024-01-30T09:44:06Z,CLOSED NOTABUG,unspecified,medium,Fedora,coreutils,uname -i/p is broken in latest version of RAWHIDE,normal,"$ uname -i
x86_64
$ $ uname -p
x86_64","$ uname -i
unknown
$ uname -p
unknown",Always,"- Install RAWHIDE
- Run uname -i or -p","$ uname -i
$ uname -p","uname -i 
uname -p","uname -i  
uname -p",None,https://bugzilla.redhat.com/show_bug.cgi?id=2126206,
2261852,IBM Bug Proxy,2024-01-30T05:40:17Z,2024-01-30T09:36:29Z,CLOSED DUPLICATE,unspecified,medium,Fedora,coreutils,uname --processor is broken from Fedora38 and above!,normal,ppc64le,unknown,Always,1) uname --processor,$ uname --processor,uname --processor,uname --processor,uname --processor,https://bugzilla.redhat.com/show_bug.cgi?id=2261852,
